"","State","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1","AK",11224,11353,8351,10220,13905,14643,16023,15004,14638,12137,12762,11547,12920,13982,13066,14988,13696,14633,14621
"2","AL",117660,107730,79350,59346,86346,89775,128232,106432,101436,71930,40881,60466,122345,84919,86313,70754,123071,90030,91902
"3","AR",35906,31781,27552,24181,26331,34953,26878,36493,30822,15380,31992,45923,40921,35697,28738,20921,25329,25104,33261
"4","AZ",123060,111863,99794,85221,78774,75557,71634,69843,64094,67379,65211,71795,62731,64606,89135,63918,56432,58185,60906
"5","CA",419290,505243,416573,391043,263923,316794,368253,341956,396279,476582,270107,237755,272187,326152,413488,255384,226643,157213,128681
"6","CO",20751,14908,15978,14836,15445,12299,12780,11966,14152,17767,17095,20096,18405,15398,20235,14247,11572,16831,15098
"7","CT",4562,4571,4315,5369,2959,3409,5715,4634,4782,5395,3590,5481,4973,3811,5513,2970,3835,4127,2819
"8","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","FL",2464,2024,1433,885,1526,1873,2660,2657,2661,2018,1527,2031,2032,1731,1769,1432,2425,2010,2277
"10","GA",43708,53376,28134,25307,26829,27627,41920,36983,40317,25480,22102,21133,31815,32407,26282,21281,35431,29142,27804
"11","HI",1178,1237,1175,1055,1041,967,916,941,962,1191,913,831,1099,687,905,1090,747,895,1129
"12","IA",8221,9309,9670,9222,8733,9628,7985,9475,9594,9020,9512,8071,9479,9250,8991,7291,7147,8356,8948
"13","ID",149882,131904,138042,111871,74637,89210,84585,84752,85413,111513,89170,92258,101838,89309,130241,104109,80845,85611,81603
"14","IL",992,1404,1453,1467,1488,1311,1402,1538,1290,1719,1519,1365,1331,1157,1365,1058,1148,1258,1160
"15","IN",5736,4881,4162,6001,5897,4184,4293,4444,4382,4855,4447,4304,4914,4426,3972,4125,3692,3530,3553
"16","KS",142,117,126,156,264,130,126,126,113,96,104,104,125,129,143,99,139,154,177
"17","KY",34522,31774,26144,23713,39839,40944,39974,37863,29609,25707,16492,18895,32380,25173,28850,22475,31249,29895,31717
"18","LA",10580,10838,8199,5430,7566,9069,9031,11006,8109,7074,8171,10488,12067,10817,10144,6470,9966,10366,9310
"19","MA",10537,10500,9966,10866,7259,8902,10886,9999,10418,15004,7882,11389,11723,9720,11161,8683,9460,8579,7709
"20","MD",16222,17740,14564,17674,12229,16897,26801,25115,17035,20872,16331,19453,18434,16267,24748,15764,16477,15364,15127
"21","ME",37256,37892,38408,36630,27332,28157,32123,34357,40905,42435,36948,43923,41106,37174,38660,35519,33970,34457,31317
"22","MI",17489,14246,14913,14564,16139,16981,14031,15420,14616,15080,12553,13445,13390,12200,13188,11484,13539,15216,13971
"23","MN",10567,9734,12056,9501,8593,8231,8248,7395,7747,5671,6462,7164,7897,8199,7250,5339,4877,5216,7912
"24","MO",16272,23928,18949,6120,11409,13804,6606,14823,11592,1976,11904,20169,17731,15018,11515,6797,10843,6632,14864
"25","MS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","MT",136921,113370,141344,98167,68337,97324,88105,88702,95864,100481,92557,98536,92778,91849,122382,107373,91959,109201,92144
"27","NC",57457,58512,37674,32009,26821,35525,72910,54439,53960,38079,29495,29894,50471,46405,37828,35475,65838,45230,44191
"28","ND",33903,23412,26681,21652,13764,16202,17455,15483,13417,15087,12903,12345,14398,19923,25068,23573,17674,24073,19516
"29","NE",17080,17160,17579,15309,11616,11165,9924,9145,8714,8861,3434,3414,4233,12818,15713,11962,10723,11010,15702
"30","NH",16561,16282,14432,14559,10236,11607,13479,13179,17987,15165,12506,16094,16402,14415,15592,11869,13617,13137,11837
"31","NJ",188,211,177,143,186,122,394,376,311,351,207,254,313,177,237,102,174,164,89
"32","NM",2643,2411,2482,2256,2452,2692,1728,1392,1650,1966,2649,3077,2645,2117,1892,2120,876,936,927
"33","NV",26421,32287,28916,24783,25974,23068,17787,16177,17022,20410,19800,17251,24015,21047,21284,23223,25588,22719,21099
"34","NY",312702,298933,253117,254103,238527,254812,245720,240280,257799,271232,249596,263330,269523,248502,272019,234593,238270,248086,242429
"35","OH",5182,4144,4326,5948,5278,4968,5172,7310,5157,6268,4057,3808,5151,4186,3728,3941,5240,4546,4256
"36","OK",29834,35779,32472,23227,24228,20222,18209,29814,26301,6185,30303,37556,34673,27403,14641,10901,20781,13585,24825
"37","OR",476985,406882,466705,388818,295984,350085,336660,331337,309453,375437,331978,333115,322407,297970,411131,375027,315785,335341,291255
"38","PA",22970,24283,19906,23363,17049,22488,33881,31604,22320,28211,22100,25116,26185,22753,31258,21334,24088,25117,24264
"39","RI",77,88,62,50,32,37,61,55,67,59,43,49,46,36,72,41,42,38,29
"40","SC",30212,36397,17255,15643,12663,14138,37112,24508,29379,17923,15379,11067,22760,23185,15100,13515,30152,24432,23897
"41","SD",92042,58710,68282,58304,35461,44290,43298,36033,30743,33693,28834,29494,43261,51110,64205,56915,38761,52288,45202
"42","TN",112731,110189,79783,65248,71778,81116,121537,104248,93086,76859,48823,55636,99669,79392,93037,78942,118721,84645,89288
"43","TX",18289,14529,11455,8456,12403,11429,9077,13027,13324,6566,16254,10243,10040,12310,5471,5562,4580,3670,8913
"44","UT",13728,13406,12835,7611,5253,4657,4266,4506,7844,7407,5325,6583,8152,6785,11952,7116,4818,6018,7164
"45","VA",10420,13086,6971,7263,10480,8832,18038,15856,14842,13402,12338,9962,14431,14636,11760,9933,11961,9084,10795
"46","VT",10902,12176,12227,12456,9137,11342,11685,11892,12107,15064,6391,14711,14502,13140,13843,10956,12269,11177,10619
