"","State","year","CLTCB","FFTCB","GETCB","HYTCB","MGTCB","NGTCB","SOTCB","WYTCB","coal.growth","fossil_fuel.growth","geothermal.growth","hydro.growth","motor_gas.growth","natural_gas.growth","solar.growth","wind.growth","GDP","GDP.growth"
"1","AK",1997,11719,693234,51,11224,32916,425394,1,0,1.05,0.99,1,0.86,0.94,0.96,1,0,137143,0
"2","AK",1998,16471,709668,51,11353,35135,434437,0,0,1.41,1.02,1,1.01,1.07,1.02,0,0,37880,0
"3","AK",1999,16394,714792,86,8351,33497,422817,0,0,1,1.01,1.69,0.74,0.95,0.97,0,0,163114,1
"4","AK",2000,16455,729758,86,10220,31143,437972,0,0,1,1.02,1,1.22,0.93,1.04,0,0,79164,0
"5","AK",2001,15911,718377,86,13905,33282,413049,0,10,0.97,0.98,1,1.36,1.07,0.94,0,0,1343127,1
"6","AK",2002,16429,714712,86,14643,30864,420808,0,0,1.03,0.99,1,1.05,0.93,1.02,0,0,175029,0
"7","AK",2003,12552,713898,89,16023,30796,415891,0,0,0.76,1,1.03,1.09,1,0.99,0,0,183342,1
"8","AK",2004,14075,756177,88,15004,36134,407944,0,0,1.12,1.06,0.99,0.94,1.17,0.98,0,0,74610,0
"9","AK",2005,13994,781037,90,14638,35621,434704,0,6,0.99,1.03,1.02,0.98,0.99,1.07,0,0,537176,1
"10","AK",2006,14981,732217,87,12137,35240,375719,0,8,1.07,0.94,0.97,0.83,0.99,0.86,0,1.33,314114,0
"11","AK",2007,13662,708054,87,12762,35707,372186,0,10,0.91,0.97,1,1.05,1.01,0.99,0,1.25,53108,0
"12","AK",2008,14705,635787,130,11547,34385,343938,2,1,1.08,0.9,1.49,0.9,0.96,0.92,0,0.1,35356,0
"13","AK",2009,14505,622050,151,12920,34216,343971,3,69,0.99,0.98,1.16,1.12,1,1,1.5,69,553662,1
"14","AK",2010,14548,634764,153,13982,34922,334978,3,123,1,1.02,1.01,1.08,1.02,0.97,1,1.78,222040,0
"15","AK",2011,15481,635951,214,13066,33667,339819,3,121,1.06,1,1.4,0.93,0.96,1.01,1,0.98,107893,0
"16","AK",2012,15521,629726,186,14988,33725,347228,3,356,1,0.99,0.87,1.15,1,1.02,1,2.94,98817,0
"17","AK",2013,14819,596341,186,13696,32810,332631,3,1386,0.95,0.95,1,0.91,0.97,0.96,1,3.89,139389,1
"18","AK",2014,18225,581901,186,14633,34219,329274,3,1445,1.23,0.98,1,1.07,1.04,0.99,1,1.04,180085,1
"19","AK",2015,19511,598233,186,14621,34843,337112,3,1488,1.07,1.03,1,1,1.02,1.02,1,1.03,41367,0
"20","AL",1997,867264,1730236,17,117660,290444,337453,138,0,0.97,0.98,1.06,1.03,1.01,1,0.95,0,216432,1
"21","AL",1998,856479,1717751,18,107730,299423,341976,134,0,0.99,0.99,1.06,0.92,1.03,1.01,0.97,0,293755,1
"22","AL",1999,866512,1752758,62,79350,300629,349080,127,0,1.01,1.02,3.44,0.74,1,1.02,0.95,0,386554,1
"23","AL",2000,904181,1833286,62,59346,298042,368472,113,0,1.04,1.05,1,0.75,0.99,1.06,0.89,0,203067,0
"24","AL",2001,842337,1722132,65,86346,300939,344004,97,0,0.93,0.94,1.05,1.45,1.01,0.93,0.86,0,78492,0
"25","AL",2002,845999,1799200,67,89775,321036,389965,82,0,1,1.04,1.03,1.04,1.07,1.13,0.85,0,217476,1
"26","AL",2003,873735,1796405,62,128232,308052,360505,68,0,1.03,1,0.93,1.43,0.96,0.92,0.83,0,26682,0
"27","AL",2004,853917,1856239,68,106432,323075,391927,54,0,0.98,1.03,1.1,0.83,1.05,1.09,0.79,0,66393,1
"28","AL",2005,890098,1860797,78,101436,326777,363398,53,0,1.04,1,1.15,0.95,1.01,0.93,0.98,0,84794,1
"29","AL",2006,886678,1900475,85,71930,329447,402044,62,0,1,1.02,1.09,0.71,1.01,1.11,1.17,0,47050,0
"30","AL",2007,888436,1921281,98,40881,331468,430649,63,0,1,1.01,1.15,0.57,1.01,1.07,1.02,0,408007,1
"31","AL",2008,842826,1824747,117,60466,320465,414260,64,0,0.95,0.95,1.19,1.48,0.97,0.96,1.02,0,64422,0
"32","AL",2009,630969,1616408,126,122345,319396,466272,62,0,0.75,0.89,1.08,2.02,1,1.13,0.97,0,915016,1
